id,name,description,detects
T1055.011,inject window mem,defens reg aug request load produc method cod july microsoft getwindowlong interfac mem valu malw writeprocessmem ewm detect bas stor loc ap resourc bit byt us pow protect privileg access inst soph port part program combin control system cal network shar target funct address setwindowlong point advers set spac handl prev appear sect return window context malwaretech chain writ attack dep class grant behavy process sampl execut payload dat sec input mech proc apply plac ord inject output trig createremotethread,funct sendnotifymess process setwindowlong cal ewm techn assocy monit window proc malw inject july microsoft trig getwindowlong ap
T1053.005,schedule task,mov reg method netapi32 cod sign valu s0111 delet persist t1218 serp bas softw panel rec describ libr command environ us metadat permit account sd startup trust access mit sigmahq proofpoint part program schtasks lin task way control http system index abus conduc util s0110 run admin man assocy artifact advers org t1053 query cas tarrask key hid proxy sect wrap window context tool gui attack defend t1564 tim process execut techn sec schedule scheduler also ex,cre system patch reg tasksched act softw for powershel command ev us r2 job cyc taskeng man instru microsoft twit svchost entry systemroot advers leoloobeek remov process argu valu vert key monit dat correl id delet serv lin chang schedule persist log task construct technet know window scheduler stor set ex system32 tool
T1205.002,socket filt,t1572 limit commun vis libr act winpcap cpu bpf setsockopt network command pass us pcapsetfilt target penquin conjunct funct traff attack soattachfilt crit permit advers platform org typ behavy interfac send inst libpcap host backdo mit exatrack socket techn monit dat connect opt lack persist control shel packet feat window protocol http ping match filt overhead trig instal craft tunnel,apply list process run enterpr policy socket monit connect filt accord
T1066,remov ind tool,system upd us target t1045 attack fil quarantin sign advers ind pack org remov mit vert techn malw vir http exampl softw tool,
T1560.001,util arch,direct party system download abus act diantz us util homep funct winzip attack cod fil advers linux pack org mit t1074 winr zip techn opt dat stag transport cabinet cop maco vary xcop tar makecab exfilt window http cab also exelolba loc,system act encrypt command network writ effort winzip assocy fil follow loss typ foc transit process argu winr zip dat monit prev intrud lin extend construct tar detect exfilt head compress aid
T1021.005,vnc,bug desktop system download t1021 resourc abus act libr impl mous exploit network command shar forc us auth vuln config inform t1078 attack comput keyboard fil display default machin account advers pentestlab platform org mem mit vnc docu techn monit dat sec input pivot serv login screen log framebuff rfb maco root http protocol relay havan cred softw check,system act network shar environ pattern us auth pred t1078 attack cod analys show screensharingd machin account org appl behavy process access mit vnc review techn monit connect eventmess login log screen fact maco http exampl attempt
T1047,man window instru,system msdn t1021 dcom mov abus command environ us inform model admin man attack object instru fil advers mean 003 org behavy wmi access execut mit payload techn port compon discovery part serv fireey feat window http lat winrm,behavy wmi process construct argu traff act monit connect network command environ suspect us lin
T1156,mod shel,direct sess list zshenv ev ssh cod bashrc tsunam interfac end malw persist vary bas termin ap attempt zsh command environ bin us rabbit gnu default exit permit startup linux rock profil tab leg hom bashlogin program ad lin op maco root lev kaij magento script system etc zshrc level trig target config funct run point zlogout advers insert zlogin login cannon alia zprofile bashprofil bash launch fil tim execut techn connect intez apply shel pearlshellbot ord exampl sourc bashlogout set,
T1113,capt screen,desktop cal xwd net us copyfromscreen util post funct inform screencapture cod mac advers capt access screenshot attempt malw screen op feat comprom cours tool ap,desktop system act xwd net legitim command network environ ev us method writ copyfromscreen ap inform screencapture cod fil mac capt behavy process argu giv monit dat malw correl screen im op sens detect output disk cours attempt
T1067,bootkit,system lay record mtrends act mbr load pass boot suspect us driv hardw bio cod volum lau advers are startup org process access execut init bootkit cas mast malw sect control vary disk remedy vbr loc,
T1037,init logon boot script,system boot us config funct inform admin logon account advers privileg send access init serv program log persist bas cred script,direct reg duty command boot us admin logon fil account tim process access argu init key monit chang persist window script
T1557,middl advers,system push sess defens commun ssl abus act encrypt network forc taxonomydowngradeatttl posit setup us cooky interceiv flow inform mitmtlsdowngradeat algorithm traff attack middl follow t1565 arp adblockerwithmin sit advers t1498 destin tl org support behavy ttint access downgrad mit dns dnschangertrojans vert techn tlseminardowngradeatt dat monit le malw serv victim aitm volexity0daysophosfw control t1040 dev manip feat http protocol llmnr lev exampl mitm ord also den t1562 cred attempt,cre wel nt act dword network chain ev us hardw address traff man daemon assocy dhcpservopevents metadat mac microsoft dhcp isol dnsclient behavy process view valu monit dat hklm anoma id part serv login aitm log apply chang construct dev policy window protocol llmnr sourc set softw
T1033,us system discovery own,direct system sess list dump act command grep environ detail us target util inform run t1003 attack dscl cod fil follow account advers org behavy process access mit techn numb whoam discovery acquir log way maco vary http exampl usernam shap t1033 own cred attempt,direct reg dump defens dcsync pid powersploit request pattern alert auth method traff t1078 sept analys cod microsoft systemroot drsr ind oth mem monit anoma know dev detect feat subsystem protocol stor stock softw system32 inspect attempt ip ap cre wel commun act map command us filesystem r2 t1059 domain default follow password account hostil linux structure avoid t1055 access argu mit serv program ship lin control http hash script gt system nam reply cal tabl network detail config funct flow man assocy advers org key dec sam correl not login lsass log cop sect packet window watch syntax comprom cred tool powershel getnccchang adsec samr lt inform attack fil build s0002 path process execut mod mimikatz techn dat connect sec lsa proc help text mat inject distribut ex
T1583,infrastruct acquir,party impl us target contact cloud domain launch traff web buy advers solv infrastruct purchas orchest host trendmicrohideoutsleas blend provid stag serv help op vary rent leas,system nam list who reg databas ssl resourc c2 cert beacon command negoty pattern us target effort inform domain run assocy buy artifact hunt scan advers respons tl infrastruct foc internet jul query track dns dec provid dat monit port sep stag serv lifecyc acquir help fac log control detect feat koczwar rent threatconnect leas ex softw aid
